nct_id,Completed,Early termination,Proportion,comment
NCT02242318,203,17,0.077272727,
NCT02183064,1175,148,0.111866969,
NCT02177461,267,107,0.286096257,
NCT02177396,393,33,0.077464789,
NCT02175355,394,24,0.057416268,
NCT02172586,310,53,0.14600551,
NCT01769378,274,27,0.089700997,
NCT01624259,559,41,0.068333333,
NCT01365455,279,0,0,
NCT01358578,369,0,0,
NCT01335477,451,100,0.181488203,
NCT01335464,434,81,0.157281553,
NCT01292473,141,17,0.107594937,
NCT01287117,134,27,0.167701863,
NCT01264939,290,46,0.136904762,
NCT01232569,405,251,0.382621951,double-checked IPD is correct
NCT01224171,388,28,0.067307692,
NCT01209702,99,3,0.029411765,
NCT01191268,481,116,0.194304858,
NCT01164501,566,73,0.114241002,
NCT01126580,433,104,0.193668529,
NCT01119859,272,54,0.165644172,
NCT01087788,105,61,0.36746988,
NCT01087762,87,41,0.3203125,
NCT01075282,489,60,0.109289617,
NCT01064687,245,51,0.172297297,
NCT01007435,484,191,0.282962963,
NCT00970632,304,20,0.061728395,
NCT00968708,4765,619,0.114970282,
NCT00926289,827,67,0.074944072,
NCT00861757,288,28,0.088607595,
NCT00856284,919,840,0.477544059,consistent with CTG https://clinicaltrials.gov/ct2/show/results/NCT00856284
NCT00855582,354,32,0.082901554,
NCT00848081,280,33,0.10543131,
NCT00827242,300,14,0.044585987,
NCT00783718,249,398,0.615146832,inducation and maintenance phase
NCT00734474,287,194,0.403326403,consistent with CTG https://clinicaltrials.gov/ct2/show/results/NCT00734474
NCT00696436,1175,111,0.086314152,
NCT00696241,1179,93,0.073113208,
NCT00694382,2017,1197,0.372433105,double-checked IPD is correct
NCT00680186,2329,260,0.100424874,
NCT00657150,1805,256,0.124211548,
NCT00558259,1325,28,0.020694752,
NCT00479401,287,39,0.119631902,
NCT00472199,234,96,0.290909091,consistent with CTG https://clinicaltrials.gov/ct2/show/results/NCT00472199
NCT00466167,296,47,0.137026239,
NCT00402233,134,16,0.106666667,
NCT00384930,162,1,0.006134969,
NCT00329238,2683,183,0.063852059,
NCT00291330,2346,218,0.085023401,
NCT00274612,714,87,0.108614232,
NCT00274599,722,90,0.110837438,
NCT00262600,16084,2029,0.112018992,
NCT00168857,687,173,0.201162791,
NCT00168818,2059,260,0.112117292,
NCT00153088,289,63,0.178977273,
NCT00153023,716,169,0.190960452,
NCT00152971,1625,113,0.065017261,
NCT00144508,265,41,0.133986928,
NCT00133198,142,34,0.193181818,
NCT00125918,140,21,0.130434783,
NCT00106535,470,280,0.373333333,double-checked IPD is correct
NCT00051558,241,188,0.438228438,consistent with CTG https://clinicaltrials.gov/ct2/show/results/NCT00051558
NCT00034840,227,18,0.073469388,
